"VALUE_NAME","RAR_CATEGORY","VEHICLE_COMM_CATEG","VEHICLE_BRAND","COMMERCIAL_DESCRIPTION","COUNT(*)"
"ALBA","AUTOBUZ","M2","IVECO","DAILY","18"
"ALBA","AUTOBUZ","M2","IVECO","","2"
"ALBA","AUTOBUZ","M3","A8","","1"
"ALBA","AUTOBUZ","M3","BMC","TBX","3"
"ALBA","AUTOBUZ","M3","BMC","","14"
"ALBA","AUTOBUZ","M3","BOVA","FUTURA","3"
"ALBA","AUTOBUZ","M3","BOVA","","4"
"ALBA","AUTOBUZ","M3","DAC","","5"
"ALBA","AUTOBUZ","M3","DENNIS","","1"
"ALBA","AUTOBUZ","M3","FIAT","","1"
"ALBA","AUTOBUZ","M3","GULERYUZ","COBRA","8"
"ALBA","AUTOBUZ","M3","GULERYUZ","","1"
"ALBA","AUTOBUZ","M3","HEULIEZ","GX 107","2"
"ALBA","AUTOBUZ","M3","IFA","","1"
"ALBA","AUTOBUZ","M3","IKARUS","","42"
"ALBA","AUTOBUZ","M3","ISUZU","","1"
"ALBA","AUTOBUZ","M3","IVECO","CENTURY","1"
"ALBA","AUTOBUZ","M3","IVECO","CITY CLASS 12.27","4"
"ALBA","AUTOBUZ","M3","IVECO","DYPARRO 90T","2"
"ALBA","AUTOBUZ","M3","IVECO","","3"
"ALBA","AUTOBUZ","M3","KASSBOHRER","","3"
"ALBA","AUTOBUZ","M3","KASSBOHRER-SETRA","S215","1"
"ALBA","AUTOBUZ","M3","KASSBOHRER-SETRA","SETRA","1"
"ALBA","AUTOBUZ","M3","KASSBOHRER-SETRA","","3"
"ALBA","AUTOBUZ","M3","MAN","ED 172","2"
"ALBA","AUTOBUZ","M3","MAN","TOURING","1"
"ALBA","AUTOBUZ","M3","MAN","","24"
"ALBA","AUTOBUZ","M3","MENARINI","","1"
"ALBA","AUTOBUZ","M3","MERCEDES BENZ","ATEGO 1018","2"
"ALBA","AUTOBUZ","M3","MERCEDES BENZ","VARIO","1"
"ALBA","AUTOBUZ","M3","MERCEDES BENZ","","23"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","EVOBUS","1"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","O 345","1"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","TOURING","1"
"ALBA","AUTOBUZ","M3","MERCEDES-BENZ","","8"
"ALBA","AUTOBUZ","M3","NAW","","1"
"ALBA","AUTOBUZ","M3","NEOPLAN","AUWAERTER","1"
"ALBA","AUTOBUZ","M3","NEOPLAN","EUROLINER","1"
"ALBA","AUTOBUZ","M3","NEOPLAN","","4"
"ALBA","AUTOBUZ","M3","OAF","","2"
"ALBA","AUTOBUZ","M3","RENAULT","ARES","5"
"ALBA","AUTOBUZ","M3","RENAULT","R 312","1"
"ALBA","AUTOBUZ","M3","RENAULT","","7"
"ALBA","AUTOBUZ","M3","RENAULT VI","ILIADE","1"
"ALBA","AUTOBUZ","M3","RENAULT VI","R 312","6"
"ALBA","AUTOBUZ","M3","RENAULT VI","R312","5"
"ALBA","AUTOBUZ","M3","ROCAR","","26"
"ALBA","AUTOBUZ","M3","ROMAN","","14"
"ALBA","AUTOBUZ","M3","SCANIA","","3"
"ALBA","AUTOBUZ","M3","SETRA","EVOBUS","3"
"ALBA","AUTOBUZ","M3","SETRA","","12"
"ALBA","AUTOBUZ","M3","STEYR","","2"
"ALBA","AUTOBUZ","M3","TEMSA","OPALIN","2"
"ALBA","AUTOBUZ","M3","TEMSA","POWER BUS","1"
"ALBA","AUTOBUZ","M3","TEMSA","","1"
"ALBA","AUTOBUZ","M3","TEZELLER","","1"
"ALBA","AUTOBUZ","M3","TOYOTA","","1"
"ALBA","AUTOBUZ","M3","TURKKAR","CITY ANGEL","1"
"ALBA","AUTOBUZ","M3","TURKKAR","CITY ANGEL E.D.","7"
"ALBA","AUTOBUZ","M3","TURKKAR","WORLD ANGEL","1"
"ALBA","AUTOBUZ","M3","VOLVO","9700","2"
"ALBA","AUTOBUZ","M3","VOLVO","SBL12","1"
"ALBA","AUTOBUZ","M3","VOLVO","STANDARD","1"
"ALBA","AUTOBUZ","M3","VOLVO","","12"
"ALBA","AUTOBUZ","M3","YUTONG","","2"
"ALBA","AUTOMOBIL MIXT","N1","ARO","","14"
"ALBA","AUTOMOBIL MIXT","N1","AUTOBUZUL","","16"
"ALBA","AUTOMOBIL MIXT","N1","BARKAS","","3"
"ALBA","AUTOMOBIL MIXT","N1","DACIA","","985"
"ALBA","AUTOMOBIL MIXT","N1","FIAT","","5"
"ALBA","AUTOMOBIL MIXT","N1","FORD","","19"
"ALBA","AUTOMOBIL MIXT","N1","ISUZU","","1"
"ALBA","AUTOMOBIL MIXT","N1","IVECO","","3"
"ALBA","AUTOMOBIL MIXT","N1","LAND ROVER","","1"
"ALBA","AUTOMOBIL MIXT","N1","MAZDA","","8"
"ALBA","AUTOMOBIL MIXT","N1","MERCEDES BENZ","","20"
"ALBA","AUTOMOBIL MIXT","N1","MITSUBISHI","","16"
"ALBA","AUTOMOBIL MIXT","N1","NISSAN","","11"
"ALBA","AUTOMOBIL MIXT","N1","PEUGEOT","","7"
"ALBA","AUTOMOBIL MIXT","N1","RENAULT","","1"
"ALBA","AUTOMOBIL MIXT","N1","ROCAR","","7"
"ALBA","AUTOMOBIL MIXT","N1","TOYOTA","","1"
"ALBA","AUTOMOBIL MIXT","N1","VOLKSWAGEN","","37"
"ALBA","AUTOMOBIL MIXT","N2","AB","","1"
"ALBA","AUTOMOBIL MIXT","N2","AUTOBUZUL","","2"
"ALBA","AUTOMOBIL MIXT","N2","MERCEDES BENZ","","4"
"ALBA","AUTOMOBIL MIXT","N2","ROCAR","","1"
"ALBA","AUTOMOBIL MIXT","N2","SR DAC","","1"
"ALBA","AUTOMOBIL MIXT","N2","VOLKSWAGEN","","2"
"ALBA","AUTOMOBIL MIXT","N3","AB","","2"
"ALBA","AUTOMOBIL MIXT","N3","AUTOMECANICA","","9"
"ALBA","AUTOMOBIL MIXT","N3","ROMAN","","19"
"ALBA","AUTOMOBIL MIXT","","VOLKSWAGEN","","1"
"ALBA","AUTOPROPULSATA LUCRARI","","CATERPILLAR","","1"
"ALBA","AUTOPROPULSATA LUCRARI","","FIAT","","1"
"ALBA","AUTOPROPULSATA LUCRARI","","KOMATSU","","4"
"ALBA","AUTOREMORCHER","N3","AB","","1"
"ALBA","AUTOREMORCHER","N3","DAC","","1"
"ALBA","AUTOREMORCHER","N3","ROMAN","","6"
"ALBA","AUTOREMORCHER","N3","TATRA","","3"
"ALBA","AUTORULOTA","M1","FIAT","","1"
"ALBA","AUTORULOTA","M1","MERCEDES BENZ","","1"
"ALBA","AUTORULOTA","M1","PEUGEOT","","2"
"ALBA","AUTORULOTA","M1","VOLKSWAGEN","","2"
"ALBA","AUTOSPECIALA","M1","ARO","","1"
"ALBA","AUTOSPECIALA","M1","AUDI","","2"
"ALBA","AUTOSPECIALA","M1","DACIA","","5"
"ALBA","AUTOSPECIALA","M1","FIAT","","2"
"ALBA","AUTOSPECIALA","M1","FORD","","1"
"ALBA","AUTOSPECIALA","M1","IVECO","","3"
"ALBA","AUTOSPECIALA","M1","MERCEDES BENZ","","4"
"ALBA","AUTOSPECIALA","M1","MOWAG","","1"
"ALBA","AUTOSPECIALA","M1","RENAULT VI","","1"
"ALBA","AUTOSPECIALA","M1","VOLKSWAGEN","","4"
"ALBA","AUTOSPECIALA","M2","VOLKSWAGEN","","3"
"ALBA","AUTOSPECIALA","N1","ARO","","2"
"ALBA","AUTOSPECIALA","N1","DACIA","","7"
"ALBA","AUTOSPECIALA","N1","FORD","","2"
"ALBA","AUTOSPECIALA","N1","MERCEDES BENZ","","2"
"ALBA","AUTOSPECIALA","N1","NISSAN","","1"
"ALBA","AUTOSPECIALA","N2","AB","","3"
"ALBA","AUTOSPECIALA","N2","AUTOMECANICA","","1"
"ALBA","AUTOSPECIALA","N2","BERLIET","","1"
"ALBA","AUTOSPECIALA","N2","CATERPILLAR","","2"
"ALBA","AUTOSPECIALA","N2","DAC","","2"
"ALBA","AUTOSPECIALA","N2","IFA","","2"
"ALBA","AUTOSPECIALA","N2","IVECO","","2"
"ALBA","AUTOSPECIALA","N2","LUGOJ","","1"
"ALBA","AUTOSPECIALA","N2","MERCEDES BENZ","","5"
"ALBA","AUTOSPECIALA","N2","RENAULT","","1"
"ALBA","AUTOSPECIALA","N2","ROMAN","","5"
"ALBA","AUTOSPECIALA","N2","SR TIRGOVISTE","","2"
"ALBA","AUTOSPECIALA","N2","SRD","","2"
"ALBA","AUTOSPECIALA","N3","AB","","1"
"ALBA","AUTOSPECIALA","N3","ADK","","1"
"ALBA","AUTOSPECIALA","N3","ASTRA","","1"
"ALBA","AUTOSPECIALA","N3","AUTOMECANICA","","9"
"ALBA","AUTOSPECIALA","N3","JELEZ","","3"
"ALBA","AUTOSPECIALA","N3","KRAZ","","1"
"ALBA","AUTOSPECIALA","N3","MAN","","5"
"ALBA","AUTOSPECIALA","N3","MERCEDES BENZ","","2"
"ALBA","AUTOSPECIALA","N3","ROMAN","","15"
"ALBA","AUTOSPECIALA","N3","STEYR","","1"
"ALBA","AUTOSPECIALA","N3","TATRA","","3"
"ALBA","AUTOSPECIALA","N3","UBEMAR","","1"
"ALBA","AUTOSPECIALA","N3","UM TIMISOARA","","8"
"ALBA","AUTOSPECIALA","N3","UMT","","1"
"ALBA","AUTOSPECIALA","N3","VOLVO","","1"
"ALBA","AUTOSPECIALA","","AB","","1"
"ALBA","AUTOSPECIALA","","ASTRA","","1"
"ALBA","AUTOSPECIALA","","AUTOMECANICA","","4"
"ALBA","AUTOSPECIALA","","CRAIOVA","","1"
"ALBA","AUTOSPECIALA","","FIAT","","1"
"ALBA","AUTOSPECIALA","","GAZ","","1"
"ALBA","AUTOSPECIALA","","IFA","","1"
"ALBA","AUTOSPECIALA","","IFRON","","29"
"ALBA","AUTOSPECIALA","","KMZ","","1"
"ALBA","AUTOSPECIALA","","LIAZ","","1"
"ALBA","AUTOSPECIALA","","MERCEDES BENZ","","4"
"ALBA","AUTOSPECIALA","","ROMAN","","1"
"ALBA","AUTOSPECIALA","","TAF","","13"
"ALBA","AUTOSPECIALA","","UMT","","4"
"ALBA","AUTOSPECIALA","","UTEPS","","5"
"ALBA","AUTOSPECIALA","","ZIL","","2"
"ALBA","AUTOSPECIALIZATA","M1","AUTOBUZUL","","1"
"ALBA","AUTOSPECIALIZATA","M1","CITROEN","","1"
"ALBA","AUTOSPECIALIZATA","M1","DACIA","","3"
"ALBA","AUTOSPECIALIZATA","M1","MERCEDES BENZ","","1"
"ALBA","AUTOSPECIALIZATA","M1","PEUGEOT","","1"
"ALBA","AUTOSPECIALIZATA","M1","RENAULT","","1"
"ALBA","AUTOSPECIALIZATA","M1","TOYOTA","","1"
"ALBA","AUTOSPECIALIZATA","M1","VOLKSWAGEN","","2"
"ALBA","AUTOSPECIALIZATA","M2","ARO","","12"
"ALBA","AUTOSPECIALIZATA","M2","ROCAR","","1"
"ALBA","AUTOSPECIALIZATA","M3","AB","","1"
"ALBA","AUTOSPECIALIZATA","M3","CIG","","2"
"ALBA","AUTOSPECIALIZATA","M3","GRIVBUS","","1"
"ALBA","AUTOSPECIALIZATA","M3","ROMAN","","2"
"ALBA","AUTOSPECIALIZATA","N1","ARO","","8"
"ALBA","AUTOSPECIALIZATA","N1","AUTOBUZUL","","2"
"ALBA","AUTOSPECIALIZATA","N1","AUTOMECANICA","","3"
"ALBA","AUTOSPECIALIZATA","N1","CITROEN","","1"
"ALBA","AUTOSPECIALIZATA","N1","DACIA","","101"
"ALBA","AUTOSPECIALIZATA","N1","FIAT","","7"
"ALBA","AUTOSPECIALIZATA","N1","FORD","","11"
"ALBA","AUTOSPECIALIZATA","N1","GAZ","","3"
"ALBA","AUTOSPECIALIZATA","N1","IVECO","","6"
"ALBA","AUTOSPECIALIZATA","N1","MERCEDES BENZ","","6"
"ALBA","AUTOSPECIALIZATA","N1","MITSUBISHI","","1"
"ALBA","AUTOSPECIALIZATA","N1","PEUGEOT","","2"
"ALBA","AUTOSPECIALIZATA","N1","VOLKSWAGEN","","8"
"ALBA","AUTOSPECIALIZATA","N2","AB","","8"
"ALBA","AUTOSPECIALIZATA","N2","AUTOBUZUL","","1"
"ALBA","AUTOSPECIALIZATA","N2","AUTOMECANICA","","3"
"ALBA","AUTOSPECIALIZATA","N2","DAC","","1"
"ALBA","AUTOSPECIALIZATA","N2","DAF","","7"
"ALBA","AUTOSPECIALIZATA","N2","FORD","","1"
"ALBA","AUTOSPECIALIZATA","N2","HANOMAG","","1"
"ALBA","AUTOSPECIALIZATA","N2","IFA","","7"
"ALBA","AUTOSPECIALIZATA","N2","IVECO","","10"
"ALBA","AUTOSPECIALIZATA","N2","IVECO MAGIRUS","","3"
"ALBA","AUTOSPECIALIZATA","N2","MAN","","8"
"ALBA","AUTOSPECIALIZATA","N2","MERCEDES BENZ","","20"
"ALBA","AUTOSPECIALIZATA","N2","MULTICAR","","3"
"ALBA","AUTOSPECIALIZATA","N2","RENAULT","","1"
"ALBA","AUTOSPECIALIZATA","N2","ROBUR","","2"
"ALBA","AUTOSPECIALIZATA","N2","ROCAR","","1"
"ALBA","AUTOSPECIALIZATA","N2","ROMAN","","5"
"ALBA","AUTOSPECIALIZATA","N2","SR","","2"
"ALBA","AUTOSPECIALIZATA","N2","SR DAC","","1"
"ALBA","AUTOSPECIALIZATA","N2","SRD","","10"
"ALBA","AUTOSPECIALIZATA","N2","VOLKSWAGEN","","1"
"ALBA","AUTOSPECIALIZATA","N3","AB","","20"
"ALBA","AUTOSPECIALIZATA","N3","ARAD","","1"
"ALBA","AUTOSPECIALIZATA","N3","ASTRA","","18"
"ALBA","AUTOSPECIALIZATA","N3","AUTOMECANICA","","113"
"ALBA","AUTOSPECIALIZATA","N3","DAC","","4"
"ALBA","AUTOSPECIALIZATA","N3","DAF","","6"
"ALBA","AUTOSPECIALIZATA","N3","FIAT","","1"
"ALBA","AUTOSPECIALIZATA","N3","IVECO","","10"
"ALBA","AUTOSPECIALIZATA","N3","IVECO MAGIRUS","","4"
"ALBA","AUTOSPECIALIZATA","N3","KRAZ","","2"
"ALBA","AUTOSPECIALIZATA","N3","LIAZ","","1"
"ALBA","AUTOSPECIALIZATA","N3","MAGIRUS","","1"
"ALBA","AUTOSPECIALIZATA","N3","MAN","","15"
"ALBA","AUTOSPECIALIZATA","N3","MARSA","","277"
"ALBA","AUTOSPECIALIZATA","N3","MERCEDES BENZ","","23"
"ALBA","AUTOSPECIALIZATA","N3","METALCAR","","1"
"ALBA","AUTOSPECIALIZATA","N3","RENAULT","","1"
"ALBA","AUTOSPECIALIZATA","N3","RENAULT VI","","7"
"ALBA","AUTOSPECIALIZATA","N3","ROMAN","","253"
"ALBA","AUTOSPECIALIZATA","N3","SCANIA","","2"
"ALBA","AUTOSPECIALIZATA","N3","TATRA","","5"
"ALBA","AUTOSPECIALIZATA","N3","VOLVO","FM9 380","1"
"ALBA","AUTOSPECIALIZATA","N3","VOLVO","","20"
"ALBA","AUTOTRACTOR","N2","IFA","","1"
"ALBA","AUTOTRACTOR","N3","AB","","7"
"ALBA","AUTOTRACTOR","N3","ASTRA","","1"
"ALBA","AUTOTRACTOR","N3","DAF","","51"
"ALBA","AUTOTRACTOR","N3","FIAT","","1"
"ALBA","AUTOTRACTOR","N3","IVECO","","56"
"ALBA","AUTOTRACTOR","N3","IVECO MAGIRUS","","4"
"ALBA","AUTOTRACTOR","N3","LIAZ","","1"
"ALBA","AUTOTRACTOR","N3","MAN","","56"
"ALBA","AUTOTRACTOR","N3","MERCEDES BENZ","","62"
"ALBA","AUTOTRACTOR","N3","RENAULT","","4"
"ALBA","AUTOTRACTOR","N3","RENAULT VI","","11"
"ALBA","AUTOTRACTOR","N3","ROMAN","","34"
"ALBA","AUTOTRACTOR","N3","SCANIA","","20"
"ALBA","AUTOTRACTOR","N3","STEYR","","3"
"ALBA","AUTOTRACTOR","N3","VOLVO","","98"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","145","10"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","146","11"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","147","33"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","155","3"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156","63"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156 CROSSWAGON","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156 SPORTWAGON","2"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","156 SW","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","159","4"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","159 SPORTWAGON","5"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","164","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","166","11"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","33","2"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","ALFA MITO","2"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","ALFA ROMEO 147","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","ALFA ROMEO 159","3"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","GIULIETTA","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","GT","5"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","GTV T.SPARK 16V","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","T. SPARK 1.8","1"
"ALBA","AUTOTURISM","M1","ALFA ROMEO","","39"
"ALBA","AUTOTURISM","M1","ARO","","509"
"ALBA","AUTOTURISM","M1","AUDI","100","15"
"ALBA","AUTOTURISM","M1","AUDI","100 AVANT","2"
"ALBA","AUTOTURISM","M1","AUDI","100 QUATRO","1"
"ALBA","AUTOTURISM","M1","AUDI","100CD","1"
"ALBA","AUTOTURISM","M1","AUDI","80","198"
"ALBA","AUTOTURISM","M1","AUDI","80 AVANT","53"
"ALBA","AUTOTURISM","M1","AUDI","90","1"
"ALBA","AUTOTURISM","M1","AUDI","A 3","3"
"ALBA","AUTOTURISM","M1","AUDI","A 4","1"
"ALBA","AUTOTURISM","M1","AUDI","A 6","6"
"ALBA","AUTOTURISM","M1","AUDI","A1 SPORTBACK","3"
"ALBA","AUTOTURISM","M1","AUDI","A2","25"
"ALBA","AUTOTURISM","M1","AUDI","A3","186"
"ALBA","AUTOTURISM","M1","AUDI","A3 SB","1"
"ALBA","AUTOTURISM","M1","AUDI","A3 SPORTBACK","1"
"ALBA","AUTOTURISM","M1","AUDI","A3 TDI","4"
"ALBA","AUTOTURISM","M1","AUDI","A3/S3","1"
"ALBA","AUTOTURISM","M1","AUDI","A4","1509"
"ALBA","AUTOTURISM","M1","AUDI","A4 ALLROAD","1"
"ALBA","AUTOTURISM","M1","AUDI","A4 ALLROAD QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","A4 AVANT","92"
"ALBA","AUTOTURISM","M1","AUDI","A4 AVANT QUATTRO","3"
"ALBA","AUTOTURISM","M1","AUDI","A4 CABRIOLET","1"
"ALBA","AUTOTURISM","M1","AUDI","A4 LIMOUSINE","2"
"ALBA","AUTOTURISM","M1","AUDI","A4 QUATTRO","11"
"ALBA","AUTOTURISM","M1","AUDI","A4/S4","1"
"ALBA","AUTOTURISM","M1","AUDI","A5","18"
"ALBA","AUTOTURISM","M1","AUDI","A5 SPORTBACK","1"
"ALBA","AUTOTURISM","M1","AUDI","A6","338"
"ALBA","AUTOTURISM","M1","AUDI","A6 ALLROAD QUATRO","1"
"ALBA","AUTOTURISM","M1","AUDI","A6 ALLROAD QUATTRO","9"
"ALBA","AUTOTURISM","M1","AUDI","A6 AVANT","5"
"ALBA","AUTOTURISM","M1","AUDI","A6 LIMOUSINE","1"
"ALBA","AUTOTURISM","M1","AUDI","A6 QUATTRO","7"
"ALBA","AUTOTURISM","M1","AUDI","A7","4"
"ALBA","AUTOTURISM","M1","AUDI","A7 SPORTBACK","2"
"ALBA","AUTOTURISM","M1","AUDI","A8","16"
"ALBA","AUTOTURISM","M1","AUDI","A8 QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","A8/S8/A8L","1"
"ALBA","AUTOTURISM","M1","AUDI","A8L","4"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A4","17"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A4/ S4","6"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A5","1"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A6","6"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A6/S6","1"
"ALBA","AUTOTURISM","M1","AUDI","AUDI A7","1"
"ALBA","AUTOTURISM","M1","AUDI","CABRIO","3"
"ALBA","AUTOTURISM","M1","AUDI","COUPE","1"
"ALBA","AUTOTURISM","M1","AUDI","KABRIOLET","1"
"ALBA","AUTOTURISM","M1","AUDI","Q5","2"
"ALBA","AUTOTURISM","M1","AUDI","R 8","1"
"ALBA","AUTOTURISM","M1","AUDI","S3","1"
"ALBA","AUTOTURISM","M1","AUDI","S3 QUATTRO","1"
"ALBA","AUTOTURISM","M1","AUDI","S6","5"
"ALBA","AUTOTURISM","M1","AUDI","TT","11"
"ALBA","AUTOTURISM","M1","AUDI","TT QUATTRO","2"
"ALBA","AUTOTURISM","M1","AUDI","","805"
"ALBA","AUTOTURISM","M1","AUSTIN","","1"
"ALBA","AUTOTURISM","M1","AUSTIN ROVER","","1"
"ALBA","AUTOTURISM","M1","BENTLEY","CONTINENTAL GT","1"
"ALBA","AUTOTURISM","M1","BENTLEY","CONTINENTAL GT V8","1"
"ALBA","AUTOTURISM","M1","BENTLEY","","1"
"ALBA","AUTOTURISM","M1","BINZ","","1"
"ALBA","AUTOTURISM","M1","BMW","116 I","3"
"ALBA","AUTOTURISM","M1","BMW","116I","5"
"ALBA","AUTOTURISM","M1","BMW","118 D","6"
"ALBA","AUTOTURISM","M1","BMW","118 I","1"
"ALBA","AUTOTURISM","M1","BMW","118D","12"
"ALBA","AUTOTURISM","M1","BMW","118I","2"
"ALBA","AUTOTURISM","M1","BMW","120 D","2"
"ALBA","AUTOTURISM","M1","BMW","120D","6"
"ALBA","AUTOTURISM","M1","BMW","123 D","1"
"ALBA","AUTOTURISM","M1","BMW","316","24"
"ALBA","AUTOTURISM","M1","BMW","316 I","35"
"ALBA","AUTOTURISM","M1","BMW","316D","3"
"ALBA","AUTOTURISM","M1","BMW","316I","261"
"ALBA","AUTOTURISM","M1","BMW","316I COMPACT","3"
"ALBA","AUTOTURISM","M1","BMW","316I TOURING","1"
"ALBA","AUTOTURISM","M1","BMW","316IA","1"
"ALBA","AUTOTURISM","M1","BMW","316TI","9"
"ALBA","AUTOTURISM","M1","BMW","318","49"
"ALBA","AUTOTURISM","M1","BMW","318 CI","1"
"ALBA","AUTOTURISM","M1","BMW","318 D","9"
"ALBA","AUTOTURISM","M1","BMW","318 D TURING","1"
"ALBA","AUTOTURISM","M1","BMW","318 I","46"
"ALBA","AUTOTURISM","M1","BMW","318 IS","2"
"ALBA","AUTOTURISM","M1","BMW","318 TDS","20"
"ALBA","AUTOTURISM","M1","BMW","318 TI","2"
"ALBA","AUTOTURISM","M1","BMW","318CI","2"
"ALBA","AUTOTURISM","M1","BMW","318D","74"
"ALBA","AUTOTURISM","M1","BMW","318D TOURING","1"
"ALBA","AUTOTURISM","M1","BMW","318I","157"
"ALBA","AUTOTURISM","M1","BMW","318I TOURING","1"
"ALBA","AUTOTURISM","M1","BMW","318IS","9"
"ALBA","AUTOTURISM","M1","BMW","318TD","1"
"ALBA","AUTOTURISM","M1","BMW","318TDS","17"
"ALBA","AUTOTURISM","M1","BMW","318TI","4"
"ALBA","AUTOTURISM","M1","BMW","318TI COMPACT","1"
"ALBA","AUTOTURISM","M1","BMW","320","40"
"ALBA","AUTOTURISM","M1","BMW","320 CI","2"
"ALBA","AUTOTURISM","M1","BMW","320 D","139"
"ALBA","AUTOTURISM","M1","BMW","320 D TOURING","29"
"ALBA","AUTOTURISM","M1","BMW","320 I","5"
"ALBA","AUTOTURISM","M1","BMW","320 TD","1"
"ALBA","AUTOTURISM","M1","BMW","320CD","6"
"ALBA","AUTOTURISM","M1","BMW","320CI","5"
"ALBA","AUTOTURISM","M1","BMW","320D","329"
"ALBA","AUTOTURISM","M1","BMW","320D TOURING","10"
"ALBA","AUTOTURISM","M1","BMW","320D XDRIVE","4"
"ALBA","AUTOTURISM","M1","BMW","320I","36"
"ALBA","AUTOTURISM","M1","BMW","320TD","1"
"ALBA","AUTOTURISM","M1","BMW","323CI","1"
"ALBA","AUTOTURISM","M1","BMW","323I","5"
"ALBA","AUTOTURISM","M1","BMW","324 TD","1"
"ALBA","AUTOTURISM","M1","BMW","325","1"
"ALBA","AUTOTURISM","M1","BMW","325 I","1"
"ALBA","AUTOTURISM","M1","BMW","325 TDS","1"
"ALBA","AUTOTURISM","M1","BMW","325CI","1"
"ALBA","AUTOTURISM","M1","BMW","325E","1"
"ALBA","AUTOTURISM","M1","BMW","325I","2"
"ALBA","AUTOTURISM","M1","BMW","325IA","1"
"ALBA","AUTOTURISM","M1","BMW","325TD","4"
"ALBA","AUTOTURISM","M1","BMW","325TDS","1"
"ALBA","AUTOTURISM","M1","BMW","325XI","1"
"ALBA","AUTOTURISM","M1","BMW","330 XD","1"
"ALBA","AUTOTURISM","M1","BMW","330CI","1"
"ALBA","AUTOTURISM","M1","BMW","330D","3"
"ALBA","AUTOTURISM","M1","BMW","330I","4"
"ALBA","AUTOTURISM","M1","BMW","330XD","5"
"ALBA","AUTOTURISM","M1","BMW","330XI","1"
"ALBA","AUTOTURISM","M1","BMW","335D","1"
"ALBA","AUTOTURISM","M1","BMW","335I","1"
"ALBA","AUTOTURISM","M1","BMW","518I","2"
"ALBA","AUTOTURISM","M1","BMW","520","14"
"ALBA","AUTOTURISM","M1","BMW","520 D","47"
"ALBA","AUTOTURISM","M1","BMW","520 I","3"
"ALBA","AUTOTURISM","M1","BMW","520D","61"
"ALBA","AUTOTURISM","M1","BMW","520D TOURING","1"
"ALBA","AUTOTURISM","M1","BMW","520D XDRIVE","1"
"ALBA","AUTOTURISM","M1","BMW","520I","33"
"ALBA","AUTOTURISM","M1","BMW","520IA","1"
"ALBA","AUTOTURISM","M1","BMW","523I","3"
"ALBA","AUTOTURISM","M1","BMW","523IA","1"
"ALBA","AUTOTURISM","M1","BMW","524","1"
"ALBA","AUTOTURISM","M1","BMW","524 TD","1"
"ALBA","AUTOTURISM","M1","BMW","525","40"
"ALBA","AUTOTURISM","M1","BMW","525 D","15"
"ALBA","AUTOTURISM","M1","BMW","525 DA","1"
"ALBA","AUTOTURISM","M1","BMW","525 TD","2"
"ALBA","AUTOTURISM","M1","BMW","525 TDS","15"
"ALBA","AUTOTURISM","M1","BMW","525 XDRIVE","1"
"ALBA","AUTOTURISM","M1","BMW","525D","19"
"ALBA","AUTOTURISM","M1","BMW","525D TOURING","4"
"ALBA","AUTOTURISM","M1","BMW","525D XDRIVE","2"
"ALBA","AUTOTURISM","M1","BMW","525I","8"
"ALBA","AUTOTURISM","M1","BMW","525TD","1"
"ALBA","AUTOTURISM","M1","BMW","525TDS","9"
"ALBA","AUTOTURISM","M1","BMW","525XD","2"
"ALBA","AUTOTURISM","M1","BMW","528 I","1"
"ALBA","AUTOTURISM","M1","BMW","528I","1"
"ALBA","AUTOTURISM","M1","BMW","530","2"
"ALBA","AUTOTURISM","M1","BMW","530 D","14"
"ALBA","AUTOTURISM","M1","BMW","530D","16"
"ALBA","AUTOTURISM","M1","BMW","530D XDRIVE TOURING","1"
"ALBA","AUTOTURISM","M1","BMW","530DA","1"
"ALBA","AUTOTURISM","M1","BMW","530I","1"
